wmo;origin;name;latin;elevation;lat;lng;eol
041890;4060;Hallormsstaður;Hallormsstadur;60.0;65.0942;14.7447;
049810;5970;Hallsteinsdalsvarp;Hallsteinsdalsvarp;640.0;65.0182;14.4535;
049920;35769;Hamarsfjörður;Hamarsfjordur;-99.0;64.6558;14.4527;
041430;3103;Haugur;Haugur;130.0;65.1839;20.785;
049930;34450;Hauksstaðir;Hauksstadir;212.0;65.6571;15.1652;
048900;6776;Hágöngur;Hagongur;819.0;64.5712;18.1111;
048050;32322;Hálfdán;Halfdan;525.0;65.6444;23.7106;
048750;34733;Hálsar;Halsar;180.0;66.2532;15.8161;
049630;33563;Hámundarstaðaháls;Hamundarstadahals;103.0;65.9518;18.4593;
049440;6315;Hella;Hella;20.0;63.8257;20.3654;
048360;31392;Hellisheiði;Hellisheidi;360.0;64.0188;21.3424;
048620;1490;Hellisskarð;Hellisskard;380.0;64.0333;21.3665;
049490;33654;Héðinsfjörður;Hedinsfjordur;-99.0;66.1022;18.813;
049070;32365;Hjallaháls;Hjallahals;305.0;65.564;22.2461;
040420;931;Hjarðarland;Hjardarland;89.0;64.2504;20.3309;
049420;6515;Hjarðarland;Hjardarland;88.0;64.2506;20.3307;
048390;32097;Holtavörðuheiði;Holtavorduheidi;370.0;64.9899;21.0576;
041230;2862;Hornbjargsviti;Hornbjargsviti;22.0;66.4107;22.3789;
049730;34732;Hófaskarð;Hofaskard;-99.0;66.2984;15.8933;
040070;234;Hólar í Dýrafirði;Holar i Dýrafirdi;30.0;65.8679;23.5641;
048710;33495;Hólasandur;Holasandur;350.0;65.7374;17.1057;
049350;2481;Hólmavík;Holmavik;10.0;65.6873;21.6813;
049200;1481;Hólmsheiði;Holmsheidi;130.0;64.1085;21.6864;
048080;31840;Hraunsmúli;Hraunsmuli;10.0;64.8221;23.1894;
041500;6802;Húsafell;Husafell;132.8000030517578;64.699;20.869;
041710;3696;Húsavík;Husavik;28.200000762939453;66.0418;17.3281;
048920;35666;Hvalnes;Hvalnes;20.0;64.4074;14.5393;
048700;36127;Hvammur;Hvammur;20.0;63.5784;19.9016;
041340;1779;Hvanneyri;Hvanneyri;12.399999618530273;64.567;21.767;
041560;6935;Hveravellir;Hveravellir;641.0;64.8668;19.5622;
040820;705;Höfn í Hornafirði;Hofn i Hornafirdi;4.0;64.251;15.2134;
049240;31399;Ingólfsfjall;Ingolfsfjall;51.0;63.9574;21.0633;
048840;5210;Ingólfshöfði;Ingolfshofdi;57.20000076293945;63.8028;16.6509;
-00990;5847;Innri Sauðá;Innri Sauda;750.0;64.8161;15.3228;
041170;2642;Ísafjörður;Ísafjordur;2.200000047683716;66.0596;23.1699;
049910;34148;Jökuldalur;Jokuldalur;473.0;65.3019;15.2237;
041660;6670;Jökulheimar;Jokulheimar;726.0;64.317;18.217;
-00990;33480;Kaldakinn;Kaldakinn;120.0;65.7426;17.592;
041960;5885;Kambanes;Kambanes;29.799999237060547;64.8012;13.8423;
049900;35884;Kambaskriður;Kambaskridur;-99.0;64.7981;13.8901;
048040;6310;Kálfhóll;Kalfholl;52.0;63.9628;20.5669;
041760;5933;Kárahnjúkar;Karahnjukar;639.0;64.9284;15.7771;
040180;990;Keflavíkurflugvöllur;Keflavikurflugvollur;47.0;63.9747;22.5876;
041180;1350;Keflavíkurflugvöllur;Keflavikurflugvollur;50.900001525878906;63.9829;22.6005;
049640;6272;Kirkjubæjarklaustur - Stjórnarsandur;Kirkjubaejarklaustur - Stjornarsandur;22.0;63.793;18.0119;
048480;31579;Kjalarnes;Kjalarnes;10.0;64.2106;21.7667;
048030;32224;Kleifaheiði;Kleifaheidi;400.0;65.5172;23.7211;
048230;32355;Klettsháls;Klettshals;330.0;65.655;22.6088;
049020;31882;Kolás;Kolas;66.0;64.6956;21.6359;
048120;31942;Kolgrafafjarðarbrú;Kolgrafafjardarbru;3.0;64.9665;23.126;
041490;3225;Kolka;Kolka;504.0;65.233;19.717;
041860;5975;Kollaleira;Kollaleira;43.0;65.0368;14.2397;
041320;1479;Korpa;Korpa;35.0;64.1505;21.7511;
049870;4406;Krafla;Krafla;455.0;65.6945;16.7748;
049700;5316;Kvísker;Kvisker;30.0;63.9777;16.4366;
048860;35315;Kvísker Vegagerðarstöð;Kvisker Vegagerdarstod;30.0;63.9596;16.4244;
048090;2315;Lambavatn;Lambavatn;4.0;65.4924;24.0925;
048720;6472;Laufbali;Laufbali;555.5999755859375;64.0235;18.1196;
048510;32190;Laxárdalsheiði;Laxardalsheidi;200.0;65.2066;21.3277;
040310;293;Litla-Ávík;Litla-Avik;15.0;66.0213;21.425;
041120;1881;Litla-Skarð;Litla-Skard;115.0;64.7268;21.6297;
048740;36386;Lómagnúpur;Lomagnupur;55.0;63.9575;17.555;
041800;6459;Lónakvísl;Lonakvisl;675.0;64.098;18.614;
049680;36504;Lyngdalsheiði;Lyngdalsheidi;215.0;64.2018;20.8062;
049580;36122;Markarfljót;Markarfljot;42.0;63.6216;20.0285;
040710;479;Mánárbakki;Manarbakki;17.0;66.1995;17.1032;
048470;3797;Mánárbakki;Manarbakki;17.0;66.1994;17.1028;
040830;515;Miðfjarðarnes;Midfjardarnes;25.0;66.0659;15.0792;
049830;4652;Miðfjarðarnes;Midfjardarnes;25.0;66.0668;15.0799;
048010;31122;Miklidalur;Miklidalur;370.0;65.5807;23.8552;
049180;31591;Mosfellsheiði;Mosfellsheidi;270.0;64.214;21.3448;
048600;36156;Mýrdalssandur;Mýrdalssandur;35.0;63.4661;18.6044;
041730;4300;Mývatn;Mývatn;282.29998779296875;65.6196;16.9768;
